Rk,Player,Age,Team,Pos,G,Games Started,Min Played,PER,True Shooting %,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
175,Daniss Jenkins,24,DET,PG,72,19,1455,13.4,52.5%,34.3%,28.3%,4,8.7,6.4,25.8,2.1,1,15.3,21.5,0.9,2,2.9,0.095,-0.8,0.1,-0.7,0.5,
176,Jaren Jackson Jr.,26,2TM,C,48,48,1454,15.7,57.6%,32.7%,28.2%,3.1,17.4,10.1,10.4,1.7,4.4,11.7,26.2,0.1,1.3,1.4,0.047,-1.1,0.5,-0.6,0.5,
176,Jaren Jackson Jr.,26,MEM,C,45,45,1382,15.4,57.4%,32.8%,27.9%,3.2,17.4,10.1,9.9,1.6,4.5,11.7,25.6,0,1.3,1.3,0.046,-1.2,0.4,-0.8,0.4,
176,Jaren Jackson Jr.,26,UTA,C,3,3,72,23.2,59.8%,30.6%,32.7%,1.5,18.5,9.8,20.3,3.9,1.3,11.1,36,0.1,0.1,0.1,0.082,2.4,2.2,4.6,0.1,
177,Javonte Green,32,DET,SG,82,6,1446,14.1,60.7%,59.7%,30.2%,4.9,12.8,8.9,5,3.4,1.7,8.8,14.8,2,2.7,4.7,0.156,-0.3,2.4,2.1,1.5,
178,Ivica Zubac,28,2TM,C,48,47,1446,18.6,62.2%,0.0%,29.5%,13.3,27.2,20.4,11.3,0.6,2.6,13.6,19.2,2.6,1.6,4.2,0.139,0.7,-0.9,-0.3,0.6,
178,Ivica Zubac,28,LAC,C,43,42,1328,18.8,63.5%,0.0%,30.8%,13.3,27.7,20.7,11.3,0.6,2.6,14.4,19,2.6,1.5,4,0.146,0.9,-0.7,0.1,0.7,
178,Ivica Zubac,28,IND,C,5,5,118,16.2,50.5%,0.0%,18.9%,12.6,20.7,16.6,12,0.8,2.9,6.5,22.1,0.1,0.1,0.2,0.064,-1.8,-2.7,-4.5,-0.1,
179,Tre Johnson,19,WAS,SG,60,42,1443,10.6,53.5%,49.6%,13.4%,2.1,10.7,6.3,12.4,1.1,1.1,11.9,22.5,-0.6,-0.1,-0.7,-0.024,-2.1,-2.9,-5,-1.1,
180,Lauri Markkanen,28,UTA,PF,42,42,1443,21.1,60.8%,40.2%,33.3%,6.1,15.7,10.8,10.1,1.4,1.4,6.4,28.1,3.2,0.3,3.5,0.118,4.6,-2,2.6,1.6,
181,Khris Middleton,34,2TM,SF,63,50,1439,10.9,53.3%,34.4%,25.2%,3.8,13.4,8.6,17.3,1.3,0.5,15.3,20.6,-0.3,0.5,0.3,0.008,-2.8,-1.5,-4.4,-0.9,
181,Khris Middleton,34,WAS,SF,34,34,827,11.5,53.1%,33.0%,23.0%,3.8,13.8,8.7,18.9,1.5,1,14.7,19.6,0,0.1,0.2,0.009,-2.6,-1.4,-4,-0.4,
181,Khris Middleton,34,DAL,SF,29,16,612,10.2,53.6%,36.3%,27.9%,3.7,13,8.4,15,1.2,0,15.9,21.9,-0.3,0.4,0.1,0.008,-3.2,-1.7,-4.9,-0.4,
182,Sidy Cissoko,21,POR,SF,75,26,1435,7.1,51.4%,59.3%,26.3%,4.6,8,6.3,10.2,1.7,1.5,15.8,12.5,0,1.3,1.3,0.045,-4.6,0.5,-4,-0.7,
183,Luke Kornet,30,SAS,C,68,25,1430,17.9,68.9%,0.0%,41.9%,14,17,15.5,11.3,1.1,4,8,10.3,4.6,2.3,6.9,0.231,1.6,2.1,3.6,2,
184,Baylor Scheierman,25,BOS,SG,77,20,1429,11.6,61.6%,73.0%,9.3%,4.5,16,10.3,10.5,1.5,0.4,11.7,11.9,2.1,1.8,3.8,0.129,-0.7,1.3,0.6,0.9,
185,Spencer Jones,24,DEN,SF,64,37,1417,9.3,61.9%,55.0%,19.5%,6.2,10.1,8.3,4.5,1.8,1.9,9.8,9.7,1.5,1.2,2.6,0.089,-2.4,0,-2.4,-0.1,
186,Mark Williams,24,PHO,C,60,55,1416,21.8,68.0%,0.2%,40.0%,14,23.7,18.7,6.3,1.9,3.7,11.2,17.4,4,2.3,6.3,0.215,1.5,0.5,2,1.4,
187,Aaron Wiggins,27,OKC,SG,65,21,1414,11.7,53.8%,50.4%,13.4%,3.3,11.7,7.6,10.6,2.1,1.9,12.5,19.9,-0.4,2.5,2.1,0.072,-1.7,0.7,-0.9,0.4,
188,Walter Clayton,22,2TM,PG,69,6,1410,10.3,52.3%,52.9%,26.2%,1.9,8.9,5.3,26.6,1.5,1.3,18.4,18.5,0,0.3,0.3,0.009,-2.2,-2.1,-4.3,-0.8,
188,Walter Clayton,22,UTA,PG,45,0,811,10.4,54.0%,55.9%,24.2%,1.9,10,5.9,23.4,1.4,1.4,16.8,17.2,0.3,0.1,0.3,0.019,-1.9,-1.4,-3.2,-0.2,
188,Walter Clayton,22,MEM,PG,24,6,599,10.1,50.2%,49.3%,28.8%,1.8,7.5,4.6,30.9,1.6,1.1,20.3,20.1,-0.3,0.2,-0.1,-0.005,-2.7,-3.1,-5.8,-0.6,
189,Christian Braun,24,DEN,SG,44,44,1399,12.6,60.7%,36.8%,26.0%,5.1,11.5,8.4,11.4,1,0.8,9,14.8,2.2,0.8,3,0.103,-0.4,-0.9,-1.2,0.3,
190,Gui Santos,23,GSW,PF,68,30,1395,14.2,60.9%,48.3%,26.1%,5.9,15.6,10.6,16.7,2.1,1.5,16.6,18.7,1.2,1.5,2.7,0.094,-0.9,0.3,-0.6,0.5,
191,V’t Krej_’,25,2TM,PG,65,8,1392,11.1,60.9%,76.5%,11.9%,2.4,9.3,5.8,9.6,1.6,1.2,8.3,14.6,1.5,1.3,2.9,0.099,-1.5,0,-1.6,0.1,
191,V’t Krej_’,25,ATL,PG,46,8,1028,11.3,63.9%,77.6%,11.7%,2,8.4,5.1,8.6,1.7,1.1,8.5,14.3,1.2,1,2.2,0.103,-1.3,0,-1.3,0.2,
191,V’t Krej_’,25,POR,PG,19,0,364,10.5,53.3%,73.6%,12.4%,3.5,11.8,7.6,12.3,1.3,1.2,7.9,15.5,0.3,0.3,0.7,0.086,-2.2,-0.2,-2.4,0,
192,Kyshawn George,22,WAS,SF,48,48,1391,13.8,55.9%,45.1%,22.7%,3.3,15.9,9.5,22.4,1.6,2.7,16.5,22.8,0.1,0.5,0.6,0.022,-0.5,-0.6,-1.2,0.3,
193,Ben Sheppard,24,IND,SG,65,20,1390,9.7,56.1%,59.9%,13.2%,3.3,12.2,7.6,11.3,1.3,0.4,9.1,13.8,0.8,0.7,1.4,0.05,-2.4,-0.6,-3,-0.4,
194,Justin Champagnie,24,WAS,SF,69,19,1377,17.3,58.9%,35.9%,22.1%,11.1,19,15,8.7,2,2.7,8.2,16.7,2.4,0.8,3.1,0.109,0.6,-1,-0.4,0.6,
195,Will Richard,23,GSW,SG,69,21,1377,11,59.6%,61.3%,15.6%,5.3,8.7,7,9.3,2.8,0.6,12.5,13,1.2,1.4,2.5,0.089,-2.5,0.9,-1.7,0.1,
196,Gary Trent Jr.,27,MIL,SG,65,21,1377,8,53.3%,72.3%,11.0%,0.7,4.8,2.8,8,1.2,0.2,7.6,17.2,-0.2,0.2,-0.1,-0.002,-3.2,-2.2,-5.4,-1.2,
197,Sam Merrill,29,CLE,SG,52,38,1377,13.6,64.4%,77.5%,14.3%,2.2,8.4,5.3,12.3,1.2,0.5,7.5,17,2.8,0.9,3.7,0.127,1,-1,0.1,0.7,
198,Anfernee Simons,26,2TM,SG,55,5,1372,14.4,57.6%,58.5%,11.9%,2.5,8.1,5.4,14.6,1,0.6,9.1,23.6,1.8,1.1,2.9,0.101,1.2,-1.3,-0.1,0.7,
198,Anfernee Simons,26,BOS,SG,49,0,1202,15,57.9%,57.9%,12.7%,2.4,8.2,5.4,14.5,1.1,0.5,8.4,23.7,1.9,1.1,2.9,0.117,1.6,-1,0.6,0.8,
198,Anfernee Simons,26,CHI,SG,6,5,170,10.2,55.4%,62.5%,6.3%,3.2,7.4,5.3,15.7,0,1,13.7,23.3,-0.1,0,-0.1,-0.015,-1.3,-3.7,-5,-0.1,
199,Jose Alvarado,27,2TM,PG,69,3,1370,12.1,54.3%,63.9%,10.2%,2.1,11.6,6.8,23.1,2.3,0.6,14.1,16.8,1,1.2,2.2,0.077,-1.3,0.3,-1,0.3,
199,Jose Alvarado,27,NOP,PG,41,0,896,11.1,55.8%,68.9%,8.6%,1.9,11.9,6.9,19.3,2,0.4,13.9,15.7,0.5,0.5,1,0.055,-1.5,-0.5,-2,0,
199,Jose Alvarado,27,NYK,PG,28,3,474,14,52.0%,55.6%,13.0%,2.4,11.1,6.7,30.3,3,0.9,14.4,18.9,0.5,0.7,1.2,0.119,-0.9,1.8,0.9,0.4,
200,Malik Monk,27,SAC,SG,62,3,1364,14.2,56.8%,49.7%,16.9%,1.2,8.6,4.8,20.6,1.3,1.6,11.8,24,0.8,0.2,1,0.034,0.8,-2.1,-1.3,0.2,
201,Ryan Dunn,23,PHO,SF,70,16,1355,11.7,53.2%,46.7%,13.0%,7.8,16.8,12.2,10.3,2.2,2,12.8,13.7,0.7,1.9,2.6,0.093,-2.1,1.2,-0.9,0.4,
202,Josh Okogie,27,HOU,SG,78,32,1354,9.9,54.4%,54.8%,23.5%,6.7,9.6,8.2,6.4,2.3,1.1,11.2,11.3,1.1,1.6,2.7,0.095,-2.3,1.1,-1.2,0.3,
203,Kobe Sanders,23,LAC,SG,68,16,1351,10,59.7%,51.0%,18.0%,2.6,10.4,6.6,11.4,1.8,0.7,16.4,16.3,0.4,1,1.4,0.051,-2.7,-0.2,-2.9,-0.3,
204,Derrick Jones Jr.,28,LAC,SF,50,45,1350,13.3,60.0%,40.4%,24.5%,5.4,9.4,7.5,7.3,1.7,3.5,8.7,15.1,1.7,1.1,2.8,0.1,-0.6,-0.1,-0.7,0.5,
205,Darius Garland,26,2TM,PG,45,43,1344,17.1,58.2%,45.8%,18.2%,1.5,7.4,4.5,34.9,1.6,0.6,15.2,27.4,1.7,0.9,2.6,0.092,2.2,-2.4,-0.2,0.6,
205,Darius Garland,26,CLE,PG,26,26,792,15.6,56.7%,43.5%,21.0%,1.7,7.1,4.4,33.2,1.3,0.4,15.1,25.8,0.9,0.5,1.4,0.084,0.9,-2.5,-1.6,0.1,
205,Darius Garland,26,LAC,PG,19,17,552,19.4,60.2%,48.8%,14.6%,1.3,7.8,4.6,37.3,2,0.9,15.4,29.8,0.8,0.4,1.2,0.104,4,-2.2,1.8,0.5,
206,Aaron Nesmith,26,IND,SF,45,42,1335,10.8,55.4%,54.1%,21.7%,3.8,11.6,7.6,9.4,0.9,1.5,10.1,19.8,0.1,0.6,0.7,0.026,-1.7,-1.6,-3.4,-0.5,
207,Kris Murray,25,POR,SF,57,15,1333,9.6,55.0%,44.2%,20.7%,7.2,9.6,8.4,8.1,1.8,1.5,13.5,10.6,0.9,1.3,2.2,0.079,-2.3,0.8,-1.5,0.2,
208,Stephen Curry,37,GSW,PG,43,41,1329,22.6,63.7%,60.6%,27.7%,1.4,11.7,6.5,27,1.8,1.2,11.9,32.5,2.9,1.2,4.1,0.147,6.3,-1,5.4,2.5,AS
209,Jordan Miller,26,LAC,SF,60,1,1325,15.9,62.8%,27.6%,43.9%,4.5,11.3,8,15.1,1.7,0.8,11.7,18,2.5,1,3.5,0.125,0.6,-0.4,0.2,0.8,
210,Drake Powell,20,BRK,SG,63,24,1320,7.3,52.1%,50.8%,21.5%,1.8,8.4,4.9,10.3,1.3,1,13.3,14.9,-0.5,0.5,-0.1,-0.003,-4.6,-1.3,-6,-1.3,
211,Jericho Sims,27,MIL,C,67,19,1318,12.9,77.2%,0.0%,38.4%,12.7,19,15.9,10.7,0.7,1.3,25.8,9.8,2.5,0.7,3.2,0.117,-2.1,-0.9,-3.1,-0.4,
212,Dean Wade,29,CLE,PF,59,38,1318,10.9,58.0%,70.5%,13.7%,4.4,16.1,10.3,8.3,1.6,1.7,5.1,9.9,1.7,1.4,3.1,0.114,-0.8,1,0.2,0.7,
213,Isaiah Stewart,24,DET,C,58,13,1317,15.2,63.2%,29.9%,32.6%,8.3,16.3,12.4,6.9,0.6,7,12.7,16.6,1.9,2.1,4.1,0.149,-1.1,1.1,0,0.7,6MOY-7
214,Egor D_min,19,BRK,PG,52,45,1308,11.3,56.1%,71.7%,14.5%,1.8,13.5,7.3,20.7,1.6,1.2,15.3,18.8,0.1,0.7,0.9,0.032,-0.9,-0.7,-1.6,0.1,
215,Alex Sarr,20,WAS,C,48,48,1305,19.4,54.4%,22.9%,22.3%,8.5,20.9,14.6,15.9,1.4,6.4,10.2,25.7,0.7,0.9,1.6,0.059,0.8,-0.1,0.7,0.9,
216,Yves Missi,21,NOP,C,66,14,1297,15,55.6%,0.3%,34.7%,15,17,16,8.6,0.7,7.4,13.7,12.6,1.6,1.1,2.7,0.098,-1.4,-0.3,-1.7,0.1,
217,Nicolas Batum,37,LAC,PF,74,6,1295,8.4,60.3%,95.8%,4.6%,2.1,14.1,8.3,6.5,1.8,1.7,13.2,9.6,0.6,1.2,1.8,0.066,-1.7,0.7,-1,0.3,
218,Ziaire Williams,24,BRK,SF,56,13,1281,12.4,57.9%,58.0%,32.3%,2.6,10,6.1,7.4,2.9,1.5,10.7,18.9,0.5,1.1,1.6,0.059,-2,0.4,-1.7,0.1,
219,Jordan Clarkson,33,NYK,SG,72,1,1279,11.6,54.8%,40.7%,17.9%,5.4,5.7,5.6,10.7,1.2,0.7,10,21.1,0.9,1,1.9,0.072,-1.9,-1.4,-3.3,-0.4,
220,Jaylin Williams,23,OKC,PF,65,11,1277,13.8,59.7%,72.7%,26.1%,2.8,26.6,15.2,16,1.2,3.2,14.6,15.6,1.3,2.8,4.1,0.155,0,2.8,2.7,1.5,
221,Kevin Porter Jr.,25,MIL,PG,38,36,1261,18.7,56.7%,27.8%,30.4%,3.1,14.6,8.9,33.8,3.2,1.5,15.9,24.3,1.5,1.3,2.8,0.106,0.8,1.2,2.1,1.3,
222,Coby White,25,2TM,SG,50,26,1249,16.1,59.5%,51.0%,38.7%,1.5,13.1,7.4,24.8,0.9,0.4,14.9,28.8,1.2,0.7,2,0.076,0.6,-1.9,-1.3,0.2,
222,Coby White,25,CHI,SG,29,26,843,14.2,58.6%,52.9%,39.2%,0.9,12.6,6.8,23.9,1.1,0.2,16,27.1,0.3,0.4,0.7,0.038,-1,-2.3,-3.3,-0.3,
222,Coby White,25,CHO,SG,21,0,406,20.1,61.1%,47.8%,37.8%,2.8,14.2,8.6,26.8,0.6,0.7,13,32.1,1,0.3,1.3,0.154,4,-1.1,2.9,0.5,
223,Collin Murray-Boyles,20,TOR,PF,57,22,1246,16.4,62.1%,14.6%,31.6%,12,14,13,11.7,2,4.1,13.2,15.5,2.1,1.9,4,0.154,-0.5,1.5,1,1,
224,Nolan TraorŽ,19,BRK,PG,56,31,1243,7.9,47.9%,40.1%,19.6%,1.2,8.4,4.6,27.2,1.8,1.7,19.9,22.8,-2.3,0.6,-1.6,-0.063,-4.8,-2,-6.8,-1.5,
225,Adem Bona,22,PHI,C,71,18,1234,12.8,63.8%,2.7%,51.4%,11.2,16,13.6,3.4,1.2,6.2,17.2,11.1,1.4,1.5,2.9,0.112,-3.2,0.3,-2.9,-0.3,
226,Andre Drummond,32,PHI,C,63,25,1231,16.4,53.9%,26.7%,24.9%,17.5,29.8,23.6,8.9,1.5,3.7,14,14.9,1.5,1.9,3.4,0.133,-0.4,-0.2,-0.6,0.4,
227,Pat Spencer,29,GSW,PG,66,14,1229,12.1,51.6%,38.5%,13.1%,4.5,9.9,7.2,27.1,1.9,0.4,15.6,18.9,0.5,1,1.4,0.056,-1.7,-0.6,-2.3,-0.1,
228,Zach LaVine,30,SAC,SG,39,37,1224,14.7,61.4%,46.4%,26.0%,0.7,9.4,4.9,11.2,1.1,0.8,10.8,23.7,1.3,0,1.3,0.051,0.6,-2.2,-1.5,0.2,
229,Jordan Walsh,21,BOS,PF,68,25,1212,13.1,62.3%,46.8%,21.3%,7.9,16.6,12.3,5.8,2,2.6,10.7,11.7,1.9,1.9,3.8,0.15,-1.4,1.6,0.2,0.7,
230,Jaxson Hayes,25,LAL,C,66,9,1207,18.3,75.8%,1.1%,57.3%,10,16.1,13.2,6.9,1.2,4,8.6,13,3.8,1.2,5,0.199,0.8,0.4,1.2,1,
231,Joel Embiid,31,PHI,C,38,38,1201,24.7,60.5%,22.8%,48.1%,6.7,20,13.3,21.7,0.8,3.6,11.4,33.5,2.8,1.3,4.1,0.163,5.1,-0.2,4.9,2.1,
232,Marvin Bagley III,26,2TM,PF,60,12,1201,20.2,66.1%,12.7%,35.0%,13.2,19.3,16.3,10.8,1.1,3.1,11.4,18.6,3,0.8,3.8,0.15,1.8,-1,0.8,0.8,
232,Marvin Bagley III,26,WAS,PF,38,8,731,20.5,66.7%,7.7%,39.4%,14,17.8,15.9,11.7,1.3,3.2,13.2,19,1.9,0.3,2.1,0.14,1.8,-1.1,0.7,0.5,
232,Marvin Bagley III,26,DAL,PF,22,4,470,19.7,65.2%,20.0%,28.5%,12,21.7,16.9,9.5,0.8,2.9,8.4,18,1.1,0.5,1.6,0.165,1.8,-0.8,1,0.3,
233,Santi Aldama,25,MEM,PF,43,11,1198,16.3,57.2%,42.0%,23.9%,6,20.2,13,15.7,1.5,2.4,9.5,20.2,1.3,1,2.3,0.092,1.3,0.4,1.7,1.1,
234,Daniel Gafford,27,DAL,C,55,44,1195,18.8,67.7%,0.0%,50.9%,12.3,21.1,16.7,7,1.7,4.9,14,15.8,2.5,1.7,4.1,0.167,-0.5,1.2,0.7,0.8,
235,Danny Wolf,21,BRK,PF,57,15,1187,12.3,52.1%,48.0%,24.8%,5.3,23.2,13.8,17.1,1.2,2.5,13,20.6,-0.2,1,0.8,0.032,-2.2,-0.3,-2.5,-0.2,
236,Jimmy Butler,36,GSW,SF,38,38,1182,23.5,64.6%,18.4%,62.1%,8.2,11.8,10,24.3,2.3,0.6,9.3,23.3,4.6,1.1,5.7,0.233,5,0.5,5.5,2.3,
237,Mouhamed Gueye,23,ATL,PF,77,8,1179,12,53.9%,44.8%,21.4%,8.1,17.4,12.7,7.4,2.4,3,9.4,12.4,0.9,1.8,2.7,0.11,-2.6,1.3,-1.3,0.2,
238,GG Jackson II,21,MEM,PF,55,28,1178,15.6,59.1%,37.5%,29.4%,4.4,17.4,10.8,10.7,1.2,3.4,12.8,23.5,0.4,0.9,1.3,0.052,0,-1.2,-1.2,0.2,
239,Bones Hyland,25,MIN,PG,71,3,1177,15.1,59.9%,63.9%,17.5%,2.2,9.5,5.9,22.7,1.8,1.3,12.2,20.6,1.8,1.3,3.1,0.126,1.2,0.5,1.7,1.1,
240,De'Andre Hunter,28,2TM,SF,45,25,1176,11.4,54.5%,49.1%,28.5%,2.8,14.5,8.7,10.6,1.2,0.5,11.7,22.9,0.1,1,1.1,0.044,-2.5,-1.5,-3.9,-0.6,
240,De'Andre Hunter,28,CLE,SF,43,23,1125,12.1,55.3%,49.2%,28.4%,2.8,14.9,8.9,11,1.3,0.5,11.6,22.9,0.3,1,1.3,0.056,-2.1,-1.3,-3.4,-0.4,
240,De'Andre Hunter,28,SAC,SF,2,2,51,-3.4,34.7%,47.4%,31.6%,2.1,4.5,3.3,2.5,0,0,15.6,21.4,-0.2,0,-0.2,-0.225,-11,-5.5,-16.5,-0.2,
241,Mitchell Robinson,27,NYK,C,60,16,1175,21.1,67.6%,0.0%,50.0%,23.9,26.1,25,5.8,2.4,6.1,14,10.7,3.3,2.5,5.8,0.236,1.9,1.5,3.5,1.6,6MOY-8
242,Simone Fontecchio,30,MIA,SF,70,9,1173,13.8,57.9%,69.6%,21.7%,4.9,13.8,9.3,11.6,1.5,0.7,8.7,19.6,1.4,1.2,2.6,0.106,0.7,-0.2,0.5,0.7,
243,Ryan Nembhard,22,DAL,PG,60,27,1171,10.9,49.2%,34.6%,7.9%,1.2,10.8,6,37.2,1,0.1,17.4,17.5,0.1,0.7,0.8,0.031,-2.4,-1.7,-4.1,-0.6,
244,Landry Shamet,28,NYK,SG,51,12,1171,11.2,59.8%,72.3%,20.9%,2.2,6.6,4.4,8.2,1.3,0.8,7,15.7,1.6,1,2.6,0.106,-0.4,0.1,-0.3,0.5,
245,Day'Ron Sharpe,24,BRK,C,62,7,1160,20.5,63.8%,11.0%,42.7%,16.2,25.7,20.7,21.1,2.9,2.1,20,19.9,2,1.5,3.5,0.144,0.4,1,1.4,1,
246,Jared McCain,21,2TM,SG,67,3,1160,11.6,55.1%,53.5%,12.3%,2.2,10.6,6.4,11,1.5,0.4,10,20.7,0.2,1.2,1.5,0.06,-1.6,-0.8,-2.4,-0.1,
246,Jared McCain,21,PHI,SG,37,1,620,9.4,50.6%,51.5%,10.8%,1,12.3,6.6,13.9,1.7,0.3,11,18.5,-0.2,0.5,0.3,0.024,-3,-0.7,-3.7,-0.3,
246,Jared McCain,21,OKC,SG,30,2,540,14,59.3%,55.4%,13.7%,3.6,8.7,6.2,7.7,1.2,0.5,9,23.2,0.4,0.7,1.1,0.101,0,-1,-0.9,0.1,
247,Quinten Post,25,GSW,PF,67,35,1159,13,56.0%,63.1%,9.8%,6.4,19.7,12.9,11.9,1.1,2.8,10.9,18.8,0.7,1.2,1.9,0.078,-1,-0.1,-1.1,0.3,
248,Svi Mykhailiuk,28,UTA,SF,50,41,1156,11.4,62.6%,66.3%,7.7%,3.3,8.4,5.8,11,1.1,0.3,10.1,14.8,1.3,-0.2,1.1,0.048,0.3,-2,-1.7,0.1,
249,Caris LeVert,31,DET,SG,60,0,1154,10.9,51.8%,46.0%,21.5%,2.3,9,5.7,18.2,2.1,3.5,16.1,18.4,-0.2,1.8,1.6,0.066,-1.8,1.5,-0.4,0.5,
250,Jakob Poeltl,30,TOR,C,46,44,1149,18.1,69.8%,0.0%,31.6%,11.2,20.8,16,11.7,1.7,2.7,13.9,15.3,2.6,1.8,4.3,0.18,0.2,1.4,1.6,1,
251,Craig Porter Jr.,25,CLE,PG,64,3,1148,13.7,52.4%,36.0%,15.5%,8.2,12.9,10.5,22.4,2.4,3.1,17.6,12.3,1.3,1.5,2.8,0.116,0,1.9,2,1.2,
